Забилась канализация – звоните!|+380 (57) 728 58 68;+380 (67) 338 58 68;+380 (50) 338 58 68;+380 (93) 338 58 68|Аварийные службы
Служба экстренной помощи г. Харькова|112|Аварийные службы
Аварийно-диспетчерская служба КСП «Харьковгорлифт»|+380 (57) 725-25-25|Аварийные службы
Оперативно-спасательная служба г. Харькова|+380 (57) 706-43-07|Аварийные службы
Аварийно-диспетчерская служба ООО «Харьковгоргаз»|104; +380 (57)  733-30-04|Аварийные службы
Диспетчерская служба КП «КВБО» (вывоз бытового мусора)|+380 (57) 736-08-42; +380 (57) 736-08-20|Аварийные службы
Городская диспетчерская служба г. Харькова|15-62; +380 (57) 760-70-62|Аварийные службы
Центральная диспетчерская служба КП «Жилкомсервис»|+380 (57) 730-72-28|Аварийные службы
Центральная городская аварийная служба "Харьковводоканал" (холодная вода)|+380 (57) 712-06-74;+380 (57) 712-08-40;15-33|Аварийные службы
Харьковская областная государственная спасательно-водолазная служба|+380 (57) 707-02-62; +380 (57) 707-02-61|Аварийные службы
Справочное бюро "Скорой медицинской помощи"|+380 (57) 734-91-12|Аварийные службы
Неотложная медицинская помощь МЦ "Эввива" (круглосуточно)|+380 (57) 700-33-03|Аварийные службы
Спасатели МЧС (при пожаре)|101|Аварийные службы
Частная скорая медицинская помощь|10603|Аварийные службы
КП "Харьковгорлифт" (Диспетчер по обслуживанию лифтов)|+380 (57) 756-51-00|Аварийные службы
Медицинская помощь при травмах глаз (круглосуточно)|+380 (57) 700-54-52|Аварийные службы
Восточный региональный координационный центр авиационных работ поиска и спасения|+380 (57) 740-17-01|Аварийные службы
Клиническая больница скорой и неотложной медицинской помощи|+380 (57) 715-33-39|Аварийные службы
Милиция|102|Аварийные службы
КП "Комплекс по эксплуатации объектов водопонижения и ливневой канализации" (Диспетчер)|+380 (57) 707-10-87|Аварийные службы
Медицинская помощь при травмах кисти (круглосуточно)|+380 (57) 370-40-28|Аварийные службы
Медицинская помощь при ожогах и холодной травме (круглосуточно)|+380 (57) 343-14-66|Аварийные службы
Медицинская помощь при травмах уха, горла, носа (круглосуточно)|+380 (57) 704-14-94|Аварийные службы
КП "Харьковские тепловые сети"|+380 (572) 51-31-61|Аварийные службы
КП "Харьковзеленстрой" (снос аварийных деревьев, содержание зеленых насаждений)|+380 (57) 701-39-78|Аварийные службы
Скорая помощь|103|Аварийные службы
Медицинская помощь при ожогах и холодной травме (круглосуточно)|+380 (57) 343-14-66|Аварийные службы
АО "Харьковоблэнерго"|15-04|Аварийные службы
Чугуевский военный аэродром||Аэропорты
Аэродром «Коротич»|пос. Коммунар|Аэропорты
ЧП «Городской центр недвижимости»|+380 (57) 7808987|БТИ
Межрайонные ГНИ Харьковской области (Государсвенные налоговые инспеции)|г. Волчанск,
пгт. Великий Бурлук, 
пгт. Золочев, 	
г. Красноград, 	
пгт. Сахновщина, 	
пгт. Зачепиловка,
пгт. Новая Водолага, 
г. Валки, 	
пгт. Коломак,|Налоговые инспекции
Районные ГНИ Харьковской области (Государсвенные налоговые администрации)|г. Балаклея;
г. Богодухов;	
г. Змиев;	
пгт. Краснокутск|Налоговые инспекции
Объединенные ГНИ Харьковской области (Государственные налоговые администрации)|г. Изюм, 
пгт. Боровая, 
г. Барвенково, 	
г. Купянск, 	
пгт. Шевченково, 	
пгт. Двуречное, 	
г. Лозовая,	
г. Первомайск, 	
г. Люботин,		
г. Чугуев|Налоговые инспекции
Районные ГНИ города Харькова (Государсвенные налоговые администрации)|Дзержинский район,	
Киевский район,	
Коминтерновский район,	
Ленинский район,		
Московский район,		
Октябрьский район	,	
Орджоникидзевский район,		
Фрунзенский район,		
Червонозаводский район|Налоговые инспекции
Департамент здравоохранения Харьковской Областной Государственной Администрации||Областная администрация
Департамент гражданской защиты Областной Государственной Администрации|+380 (57) 738-00-76|Областная администрация
Департамент экологии и природных ресурсов Харьковской Областной Государственной Администрации||Областная администрация
Управление по взаимодействию з таможенными органами, пограничной службой, оборонной и мобилизационной работы Харьковской Областной Государственной Администрации|+380 (57) 700-48-48|Областная администрация
Городская справочная служба о наличии лекарств в аптеке|15-67|Справочные службы
Харьковская городская диспетчерская служба|15-62; +380 (57) 760-70-62|Справочные службы
«Горячая линия» по вопросам медико-социального обслуживания|+380 (57) 712-01-91; +380 (57) 704-72-94|Справочные службы
ЦЕНТРИНФОРМ, справочная служба по металлопрокату|+380 (57) 712-54-89|Справочные службы
БИЗНЕС-СЛУЖБА|15-29|Справочные службы
Справочная "Дар-Инфо"|+380 (57) 369-1-369|Справочные службы
Справочное бюро автовокзала "Харьков-Центральный"|+380 (57) 732-65-02|Справочные службы
Служба об экологическом состоянии в регионе|15-74|Справочные службы
Справочная "Дар-Инфо"|+380 (57) 369-1-369|Справочные службы
Справочная Южной железной дороги|15-05|Справочные службы
Таможенный пост "Харьков-Пассажирский"|+380 (57) 724-37-34|Таможни
Харьковская Областная Таможня Тополи, отдел таможенного оформления поста Купянск|+380 (5750) 7-54-75|Таможни
Харьковская областная государственная спасательно-водолазная служба|+380 (57) 707-02-62; +380 (57) 707-02-61|Экстренные службы
Скорая медицинская помощь|103|Экстренные службы
Специализированная служба психологической помощи "Телефон доверия"|+380 (57) 705-04-69|Экстренные службы
Экстренная психологическая помощь при ХОЦССМ|+380 (57) 705-04-69|Экстренные службы
Милиция|102|Экстренные службы
Харьковский военизированный горноспасательный отряд|+380 (57) 73-73-509|Экстренные службы
Спасатели МЧС|101|Экстренные службы
Оперативно-диспетчерская служба Главного управления МЧС Украины в  Харьковской области|+380 (57) 766-64-74|Экстренные службы
Региональный координационный центр авиационных работ по поиску и спасению|+380 (57) 740-17-01|Экстренные службы
Аварийная газовая служба|104; +380 (57) 733-30-04|Экстренные службы
Городской центр социальных служб "Доверие"|+380 (57) 771-84-57|Экстренные службы
Служба экстренной помощи г. Харькова|112|Экстренные службы
Коммунальное предприятие «Комплекс по благоустройству Харьковского района»|+380 (57) 755-98-91|Экстренные службы
КП Центр обращения с животными|+380 (57) 751-73-30|Экстренные службы
Областной центр экстренной медицинской помощи и медицины катастроф|+380 (57) 705-03-68|Экстренные службы
Коммунальное предприятие КП Харьков-Сигнал (Техн. наблюдение, содержание и ремонт тех. средств регулирования дорожного движения)|+380 (57) 731-59-53|Экстренные службы
